Title,Link,Description,Tags
Promotion of Tribal Culture,https://www.myscheme.gov.in/schemes/ptc,"The scheme provides financial grants (up to ₹3,00,000/- per organization) to registered NGOs/Trusts/Voluntary Organizations for promoting tribal culture among ST(P) communities in Assam's plain districts (outside BTC).","Culture, Heritage, Tribal, Literature, NGO"
Promotion of Tiatr Through Academic Activities,https://www.myscheme.gov.in/schemes/pttaa,"The scheme aims to foster interest in Tiatr among students and enthusiasts through academic activities like talks, symposia, seminars, and workshops. It covers activity expenditures, honorarium for resource persons, and provides materials, benefiting educational institutions and individuals.","Student, Academic, Workshop, Culture, Awareness, Seminar, Grant"
Provision of Sports Kits to Players Participating at the National Level,https://www.myscheme.gov.in/schemes/pskppnl,"This scheme provides a sports kit worth ₹5000/- (including tracksuit, jersey, shorts, socks, etc.) to approximately 1000 players annually who participate in various sports at the national level, selected through their respective sports federations.","Sports Kit, National Level Participation, Athlete, Sports"
Publication Support Scheme for Fine Arts,https://www.myscheme.gov.in/schemes/pssffa,"The scheme ""Publication Support Scheme for Fine Arts"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to encourage the publication of fine arts books through financial assistance provided to artists and art institutions.","Fine Arts, Book Publication, Artist Grant, Art Institutions"
Raising the Standard of Tiatr,https://www.myscheme.gov.in/schemes/rtsot,"The scheme aims to improve the quality and standard of Tiatr, the popular dramatic form of Goa. It benefits actors, directors, script writers, and backstage artists by reimbursing ticket costs for witnessing high-standard dramas to enhance performance quality.","Artist, Stage, Performance, Training, Culture, Reimbursement"
Rashtriya Khel Protsahan Puraskar,https://www.myscheme.gov.in/schemes/rkpp,"This scheme was launched by the Dept. of Sports. There are four categories of awards:
(a)	Identification and nurturing of budding/young talent
(b)	Encouragement to sports through Corporate Social Responsibility
(c)	Employment of sports persons and sports welfare measures
(d)	Sports for Development","Sports, Award"
Mukhyamantri Udeeyman Khiladi Unnayan Chhatravriti Yojana,https://www.myscheme.gov.in/schemes/mukuy,"The scheme aims to promote sports among talented children aged 8 to 14 years in Uttarakhand by providing a monthly scholarship of ₹1,500. Players in this age group are selected every year on the basis of Physical & Sports Aptitude Test (P-SAT), with 150 boys & 150 girls selected from each district.","Sportsperson, Scholarship, Sports, Player"
Pandit Deendayal Upadhyay National Welfare Fund For Sportspersons,https://www.myscheme.gov.in/schemes/pdunwfs,"The scheme of PDUNWFS is being implemented with the objective of providing financial assistance to outstanding sportspersons/family members living in indigent circumstances for various purposes like ameliorate condition, medical treatment, injuries, procurement of sports equipment etc.","Sportsperson, Welfare, Social Empowerment, Medical Treatment, Financial Assistance"
Pandit Omkarnath Classical Music Festival and Awards,https://www.myscheme.gov.in/schemes/pocmfa,"The scheme ""Pandit Omkarnath Classical Music Festival and Awards"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to honor and encourage contributions in classical music through national-level awards and recognition to eminent male classical music artists.","Classical Music Recognition, Indian Music Awards, Cultural Award"
Pandit Omkarnath Music Competition,https://www.myscheme.gov.in/schemes/pomc,"The scheme aims to honour the memory of Pandit Omkarnath and promote classical music among young artists by organizing competitive platforms for singing, vocal, and percussion performances. Classical music artists in two age categories can participate.","Artist, Youth, Student, Competition, Music, Culture"
Pay & Play Scheme,https://www.myscheme.gov.in/schemes/pandps,"The “Pay & Play Scheme” aims to provide state-level players with training and practice opportunities at the Mega Sports Complex, Hotwar, Ranchi.","Sports, Training, Opportunities"
Pension Scheme - Folk Artist,https://www.myscheme.gov.in/schemes/psfa,"The ""Pension Scheme"" was launched by the Art and Culture Department, Government of Tamil Nadu. The scheme aims to provide a pension to the registered folk artists.","Pension, Folk Artist, Financial Assistance, Person With Disability, Senior Citizen"
"Pension Scheme for Elderly, Destitute Artists, Litterateurs and Writers of Uttarakhand State",https://www.myscheme.gov.in/schemes/psedawa,"The scheme aims to provide financial assistance to elderly and impoverished artists, litterateurs and writers who have dedicated their lives to the development of art, culture, and literature and have made significant and distinguished contributions.","Pension, Artists, Writer, Litterateurs"
