Title,Link,Description,Tags
World War II Pension,https://www.myscheme.gov.in/schemes/wwiip,"The aim of the scheme is to provide lifelong financial assistance of ₹15,000/- per month as a measure of relief to World War II ex-servicemen and their widows who are not receiving any pension or financial assistance from any other source.","Pension, World War, Ex-servicemen, Widow, Sainik"
Yashwantrao Chavan Mukta Vasahat Yojana for VJNTs,https://www.myscheme.gov.in/schemes/ycmvyfvjnts,"The scheme ""Yashwantrao Chavan Mukta Vasahat Yojana for VJNTs,"" was launched by the Dept of Social Justice & Special Assistance, Govt of Maharashtra. Each VJNT family will receive a plot of land measuring 5 gunthas (approximately 500 square meters or about 5,382 square feet).","Vimukta Jati, Nomadic Tribe, Family, Financial Assistance, VJNT, Home, Construction, Shelter, Infrastructure"
Yuvak Mangal Dal and Mahila Mangal Dal Swavalamban Yojana,https://www.myscheme.gov.in/schemes/ymdwmdsrs,"The scheme aims to promote self-reliance among village-level male and female youth groups (Mangal Dals) by providing financial support for the purchase of essential materials, enabling them to become self-reliant and undertake community-based activities.","Financial Assistance, Self-reliance, Mangal Dal, Youth"
"“Home for the Aged"" under Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)",https://www.myscheme.gov.in/schemes/hfta-giapsca,"Through the scheme “Home for the Aged"", the senior citizens are provided with stay at subsidiary rates, food (both vegetarian and non-vegetarian), routine health check up by doctors thrice in a week, providing news papers and television for entertainment.","Home, Senior Citizen, Food, Doctor, Social Welfare"
"“Family Counseling"" under Grant-in-Aid to Pondicherry State Social Welfare Board",https://www.myscheme.gov.in/schemes/fc-giapswb,"“Family Counseling"" under the umbrella scheme ""Grant-in-Aid to Pondicherry State Social Welfare Board"" was launched by the Department of Social Welfare, Government of Puducherry. Through this scheme, the residents of Puducherry are provided with counselling, rehabilitative and referral services.","Counselling, Rehabilitation, Psychological, Family"
“RAKSHAK PURASKARS’’ Award,https://www.myscheme.gov.in/schemes/rpa,"The awards are conferred to the individuals who have shown exceptional courage, especially in adverse circumstances in coming to aid, protecting or helping beyond the call of duty and assisting in dealing with the victims of any type of violence, attack or harassment against women and girls.","Award, Crime, Women, Girl, Violence, Harrassment"
Scholarship to the Ward of Beneficiary (CBOCWWB),https://www.myscheme.gov.in/schemes/swbcbocwwb,"Under this scheme, financial assistance in the form of scholarship shall be granted to the children/wards of workers who are registered under the CBOCWWB on the basis of the percentage of marks obtained in 10th, 12th & Graduation.","Scholarship, Ward, Construction Worker, Labour, Financial Assistance"
Scholarship to SC students studying in selected schools under Talentpool Scheme,https://www.myscheme.gov.in/schemes/sctalentpool,The scheme aims to provide the best education to meritorious Scheduled Caste students in high-quality residential schools to help them build their careers and improve their living standards.,"Scheduled Caste, Students, Meritorious, Residential Schools, Education"
Security Related Expenditure (Relief and Rehabilitation),https://www.myscheme.gov.in/schemes/sre-randr,"The scheme aims to support the relief and rehabilitation of the Kashmiri migrants who have been uprooted from the Valley during the militancy period besides other relief & rehabilitation measures. ""SRE (R&R) Scheme"" is a component of the Umbrella scheme, 'Modernization of Police Forces (MPF)"".","Reimbursement, Migrant, Shelter, Rehabilitation, Relief"
Self Education for the Construction Workers,https://www.myscheme.gov.in/schemes/seftcw,"The ""Skill Development for the Construction Workers'' by the BOCW Welfare Board, Labour Department,  U.T. Administration of DNH & DD, is a welfare scheme that provides reimbursement of the course fees for distance education from and an incentive for each degree.","Labour, Building Worker, Construction Worker, Self Education, Course Fees, Reimbursement, Distance Education, Incentive, Building Worker, Construction Worker"
Self Employment Scheme - Goa,https://www.myscheme.gov.in/schemes/ses-goa,"""Self Employment Scheme"" provides financial support up to a maximum of ₹ 10,00,000 to any individual person belonging to Scheduled Tribes Community to undertake any self-employment activities.","Loan, Scheduled Tribe, Financial Assistance, Employment"
Self Employment Scheme,https://www.myscheme.gov.in/schemes/ses,"Under this scheme, Subsidies will be provided to the religious minority communities with the help of Nationalized / Scheduled banks to start or improve a small-scale handicraft industry, service sector,  and agro-based activities.","Self Employment, Minorities, Empowerment"
Self Employment Scheme For Rehabilitation Of Manual Scavengers,https://www.myscheme.gov.in/schemes/srms,"The Self Employment Scheme for Rehabilitation of Manual Scavengers (SRMS) was introduced in January 2017 by the Ministry of Social Justice and Empowerment, to assist the identified manual scavengers and their dependants in rehabilitation in alternative occupations.","Employment, Rehabilitation, Scavengers, Financial Assistance, Loan, Subsidy"
Self-Employment Scheme For Dependents Of Prisoners,https://www.myscheme.gov.in/schemes/s-esdp,"The scheme “Self-Employment Scheme for Dependents of Prisoners” was launched by the Department of Social Justice, Government of Kerala.","Prisoner, Dependent, Self-Employment, Financial Assistance, BPL"
Sewing Machine Scheme (HBOCWWB),https://www.myscheme.gov.in/schemes/smshbocwwb,"This scheme aims to encourage registered women construction workers and to enable them to mend their clothing at their homes. Under this scheme, financial assistance is provided to registered women construction workers to purchase a Sewing Machine.","Building Worker, Construction Worker, Labour, Sewing Machine, Woman, Financial Assistance"
